"Disease","Fiscal Year","Gender","Age Group","Population","Incidence","Prevalence","Mortality with Disease","Mortality without Disease","Hospitalization with Disease: Person Count","Hospitalization with Disease: Separation Count","Hospitalization with Disease: Days Stay","Hospitalization without Disease: Person Count","Hospitalization without Disease: Separation Count","Hospitalization without Disease: Days Stay","Physician Visit with Disease: Person Count","Physician Visit with Disease: Visit Count","Physician Visit without Disease: Person Count","Physician Visit without Disease: Visit Count","General Physician Visit with Disease: Person Count","General Physician Visit with Disease: Visit Count","General Physician Visit without Disease: Person Count","General Physician Visit without Disease: Visit Count","Specialist Visit with Disease: Person Count","Specialist Visit with Disease: Visit Count","Specialist Visit without Disease: Person Count","Specialist Visit without Disease: Visit Count"
Diabetes,1999,F,1 to 4,737388,204,450,0,168,198,282,1290,27834,34962,100884,444,5604,511098,3192204,396,2430,470280,2333076,408,3168,236142,856944
Diabetes,1999,F,5 to 9,1031916,324,1458,6,120,324,456,1746,18924,22950,68970,1416,13278,635304,2818734,1200,5466,582114,2065518,1254,7800,265020,751140
Diabetes,1999,F,10 to 14,1019154,450,2634,0,114,546,822,3750,17724,22740,95448,2556,25920,595878,2504922,2136,10176,553776,1830624,2334,15738,246342,672852
Diabetes,1999,F,15 to 19,1029258,534,3870,6,336,804,1404,7512,48714,63354,244218,3750,45528,659262,4077084,3438,23862,636552,3124248,3186,21594,294918,950346
Diabetes,1999,F,20 to 24,1021968,828,5256,12,312,1032,1812,10074,91344,116526,379056,5076,68688,672462,5209392,4860,39858,657768,3913344,4026,28818,341670,1293174
Diabetes,1999,F,25 to 29,1066554,1434,7968,24,360,1656,2760,14850,137232,167430,545748,7704,116808,716058,6319782,7416,66972,698580,4443474,6186,49824,409848,1873590
Diabetes,1999,F,30 to 34,1189284,2292,12390,30,456,2442,3864,23088,140478,168504,579990,12012,188136,783840,7067958,11598,109110,762276,4809438,9570,78966,467148,2256066
Diabetes,1999,F,35 to 39,1387908,3438,19422,90,906,3090,5130,32994,100458,124548,543384,18834,287052,893832,7540596,18186,172974,867846,5153982,14694,114012,525660,2383968
Diabetes,1999,F,40 to 44,1326444,4896,27222,138,1404,3840,6432,48864,66276,85890,464202,26496,408468,836292,6974190,25698,253692,809244,4739208,20742,154578,513924,2232810
Diabetes,1999,F,45 to 49,1162914,6318,36960,222,1746,5172,8574,69456,56838,74712,460926,36108,571020,730608,6515556,35100,351540,704712,4328454,28932,219366,480816,2185452
Diabetes,1999,F,50 to 54,1010442,7782,49506,456,2364,7032,11592,93690,53574,71862,453282,48552,780798,631794,6153792,47208,474414,609336,4000764,39834,306210,445764,2151774
Diabetes,1999,F,55 to 59,771420,7938,54198,648,2802,8508,14352,132420,45804,62718,421188,53184,883626,469014,4775598,51720,527766,452088,3073566,44400,355590,338730,1700838
Diabetes,1999,F,60 to 64,641832,8232,61542,1074,3564,10530,18000,167694,44274,62550,458994,60408,1025052,386736,4191342,58728,609318,373098,2684280,50556,415458,285936,1505892
Diabetes,1999,F,65 to 69,603114,8784,71718,1812,5172,14196,24420,247140,50928,73746,607176,70506,1267812,356616,4268442,68400,739614,344442,2722146,59676,528054,270528,1545456
Diabetes,1999,F,70 to 74,552204,8676,75726,2802,7608,17598,30258,328938,58404,86466,780090,74346,1414740,327462,4343760,72216,836400,316386,2755092,63210,578274,253698,1588110
Diabetes,1999,F,75 to 79,476730,7692,68346,3990,11046,19104,33126,398838,64734,97566,1052190,67080,1368090,291504,4345266,65286,837588,282066,2809884,56760,530400,229266,1535004
Diabetes,1999,F,80 to 84,308838,4818,42672,3882,12972,13986,23970,318408,53628,81864,996000,41640,885096,190824,3095412,40590,579150,185088,2115696,34248,305844,147024,979458
Diabetes,1999,F,85+,295674,4224,34536,5808,30954,12726,20940,308970,62976,94146,1397478,33330,744564,188856,3348900,32490,535380,184002,2543076,25140,209148,131058,805464
Diabetes,1999,M,1 to 4,773994,240,540,0,228,204,324,2166,37848,47868,129480,534,7500,541650,3681312,468,2964,499716,2613276,486,4536,276396,1065498
Diabetes,1999,M,5 to 9,1084002,312,1632,0,144,390,534,2148,24576,29556,93102,1584,15174,673272,3157392,1350,6366,612318,2189142,1410,8808,315276,966288
Diabetes,1999,M,10 to 14,1071276,480,2790,6,228,564,822,3780,21048,25962,102822,2706,26112,626100,2672532,2226,9660,573600,1841562,2424,16446,285936,829518
Diabetes,1999,M,15 to 19,1085286,534,4050,12,666,690,1008,4146,26676,33612,179454,3846,31698,600654,2604888,3330,15120,566856,1870170,3162,16578,254184,733518
Diabetes,1999,M,20 to 24,1048578,672,4752,12,852,612,936,5394,25182,32214,208986,4320,37020,530226,2382954,3960,20910,508248,1764126,3048,16086,212154,617400
Diabetes,1999,M,25 to 29,1072212,1122,6720,30,828,888,1476,9450,25350,32946,202224,6174,62196,543804,2641338,5790,35394,520878,1929156,4422,26802,232212,710748
Diabetes,1999,M,30 to 34,1195200,2106,11454,54,1104,1320,2208,16248,30888,40722,240678,10662,117786,618174,3370302,10044,69612,591270,2421822,7704,48156,288288,946926
Diabetes,1999,M,35 to 39,1397880,3750,20004,102,1608,2274,3636,27468,40434,53736,343992,18798,220578,735714,4348218,17874,133458,703866,3077532,13380,87084,361200,1269120
Diabetes,1999,M,40 to 44,1326408,6180,31842,204,2172,3768,6330,48996,43392,58878,365106,30216,367614,698778,4398294,28896,223464,667782,3063276,21678,144084,361854,1333788
Diabetes,1999,M,45 to 49,1159518,8598,47532,432,2742,5820,9858,80898,44256,60984,397260,45294,568908,617616,4193052,43470,342558,589098,2847606,32730,226248,339162,1344234
Diabetes,1999,M,50 to 54,1011840,11088,67926,690,3522,9072,15102,116850,46878,65976,442788,65124,843732,544770,4053960,62598,501666,519144,2674452,48606,341916,321960,1378434
Diabetes,1999,M,55 to 59,766362,11046,74472,1260,4290,11544,19470,163398,45606,65862,467742,72054,1023030,412710,3463686,69312,587598,393258,2227098,55734,435330,263658,1235628
Diabetes,1999,M,60 to 64,618864,10788,79206,1920,5616,14244,24264,215388,47748,70158,509154,77214,1195254,341676,3291210,74364,680004,325824,2072658,61818,515148,233430,1217940
Diabetes,1999,M,65 to 69,560010,11124,85332,3090,8274,18264,32034,308682,56100,85560,695700,83592,1438848,313704,3551244,80694,810906,300528,2197206,69174,627792,227856,1353246
Diabetes,1999,M,70 to 74,460266,9216,78348,4200,10992,20088,35478,361650,58770,92166,819666,76944,1468650,262638,3485784,74472,829782,252228,2130504,65148,638790,201036,1354572
Diabetes,1999,M,75 to 79,337398,6702,59358,4950,13080,18660,33432,390624,55308,88488,902874,58296,1241934,200346,3094044,56550,712320,193080,1908552,50028,529572,159186,1185036
Diabetes,1999,M,80 to 84,185076,3474,30816,3906,12006,11394,20448,252696,38088,61656,692934,30204,675282,113280,1918428,29334,415572,109428,1236732,25584,259704,89700,681324
Diabetes,1999,M,85+,129552,2028,17922,3606,16608,7470,12828,173106,33204,52620,685422,17388,395802,82260,1487790,16968,265164,79818,1044960,13968,130614,61254,442542
Diabetes,2000,F,1 to 4,717978,210,468,0,156,186,288,1272,26658,33288,95868,468,6294,500640,3133416,414,2520,459936,2272122,426,3750,234312,858912
